https://www.allmovie.com/movie/pans-labyrinth-v326961, Pan's Labyrinth, Drama Fantasy, Fairy Tales & Legends Period Film War Drama, Dec 29 2006, 119, Mexico Spain, R, 10,  Adult Situations Gore Graphic Violence Not For Children Profanity War Violence, Guillermo del Toro, Esperanto Filmoj Estudios Picasso OMM Picturehouse Telecinco Tequila Gang, Pan-Europeenne Picturehouse Warner Bros. Pictures International, A World of Its Own, Chosen One | Fantasy Life | Mythical Creatures | Mothers and Daughters | Servants and Employers, fairytale fantasy guerrilla labyrinth princess reality revolution, High Artistic Quality, Mexican filmmaker Guillermo del Toro returns to the phantasmagorical cinema that defined such early fare as Cronos and The Devil's Backbone with this haunting fantasy-drama set in the aftermath of the Spanish Civil War and detailing the strange journeys of an imaginative young girl who may be the mythical princess of an underground kingdom. Her mother Carmen (Ariadna Gil) recently remarried to sadistic army captain Vidal (Sergi López) and soon to bear the cruel military man's child shy young Ofelia (Ivana Baquero) is forced to entertain herself as her recently-formed family settles into their new home nestled deep in the Spanish countryside. As Ofelia's bed-ridden mother lies immobilized in anticipation of her forthcoming child and her high-ranking stepfather remains determined to fulfill the orders of General Francisco Franco to crush a nearby guerilla uprising the young girl soon ventures into an elaborate stone labyrinth presided over by the mythical faun Pan (Doug Jones). Convinced by Pan that she is the lost princess of legend and that in order to return to her underground home she must complete a trio of life-threatening tasks Ofelia sets out to reclaim her kingdom and return to her grieving father as Vidal's housekeeper Mercedes (Maribel Verdú) and doctor (Alex Angulo) plot secretly on the surface to keep the revolution alive., Ariadna Gil | Ivana Baquero | Sergi López | Doug Jones | Alex Angulo | Manolo Solo | Cesar Vea | Roger Casamajor | Gonzalo Martin Uriarte | Eusebio Lazaro | Juanjo Cucalon | Lina Mira | Mario Zorilla | Sebastian Haro | Mila Espiga | Pepa Pedroche | María Jesús Gatoo | Ana Saez | Chani Martin | Milo Taboada | Fernando Albizu | Pedro G. Marzo | Jose Luis Torrijos | Inigo Garces | Fernando Tielve | Federico Luppi | Chicho Campillo | Shirley Cheechoo, Blancanieves | The Devil's Backbone | Mama | The Lives of Others | MirrorMask | The Fall
https://www.allmovie.com/movie/the-queen-v326921, The Queen, Drama, Docudrama Family Drama Political Drama, Sep 30 2006, 101, France Italy UK, PG13, 9,  Adult Situations Profanity Questionable for Children, Stephen Frears, BIM Distribuzione Canal Plus France 3 Cinema Granada Film Pathe Productions Pathe Renn Productions, Miramax, In a Minor Key, Crowned Heads | Members of the Press | Death in the Family, Britain British car-crash investigation paparazzi Prime-Minister princess queen [royalty] royalty throne, High Production Values, The British prime minister and the Royal Family find themselves quietly at odds in the wake of a national tragedy in this drama from director Stephen Frears. On August 31 1997 Diana Princess of Wales died in an auto accident in Paris; despite the controversial breakup of her marriage to Prince Charles she was still one of the most famous and best-loved women in the world and the public outpouring of emotion over her passing was immediate and intense. However given the messy circumstances of Diana's breakup with Charles official spokespeople for the Royal Family were uncertain about how to publicly address her passing. It didn't take long for the media to pick up on the hesitation of Buckingham Palace to pay homage to Diana and many saw this as a sign of the cool emotional distance so often attributed to the royals which in this case was widely seen as an insult against Diana and the many people who loved her. Prime Minister Tony Blair (played by Michael Sheen) saw a potential public-relations disaster in the making and took it upon himself to persuade Queen Elizabeth II (played by Helen Mirren) to make a statement in tribute to the fallen Diana -- an action that went against the taciturn queen's usual nature. The Queen was released the same year that Helen Mirren played Queen Elizabeth I in an acclaimed miniseries for British television; The Queen also gave Michael Sheen his second opportunity to play Tony Blair after portraying the prime minister in the television film The Deal., Helen Mirren | Michael Sheen | James Cromwell | Helen McCrory | Alex Jennings | Roger Allam | Sylvia Syms | Mark Bazeley | Earl Cameron | Tim McMullan, Grace of Monaco | W.E. | Hyde Park on Hudson | Mrs. Brown | Anonymous | Amadeus
https://www.allmovie.com/movie/the-lives-of-others-v350173, The Lives of Others, Drama, Political Thriller Period Film, Feb 9 2007, 138, Germany, R, 9,  Adult Situations Not For Children Nudity Profanity Sexual Situations, Florian Henckel von Donnersmarck, ARTE Bayerischer Rundfunk Buena Vista International Creado Film Wiedemann & Berg Filmproduktion, Lions Gate Entertainment Sony Pictures Classics, Carnal Knowledge, Crisis of Conscience | Secret Organizations | Totalitarian States | Writer's Life | Conspiracies | Actor's Life, anti-establishment girlfriend infatuation patriotism playwright secret-police spy surveillance, , A man who has devoted his life to ferreting out "dangerous" characters is thrown into a quandary when he investigates a man who poses no threat in this drama the first feature from German filmmaker Florian Henckel von Donnersmarck. It's 1984 and Capt. Gerd Wiesler (Ulrich Mühe) is an agent of the Stasi the East German Secret Police. Weisler carefully and dispassionately investigates people who might be deemed some sort of threat to the state. Shortly after Weisler's former classmate Lt. Col. Grubitz (Ulrich Tukur) invites him to a theatrical piece by celebrated East German playwright Georg Dreyman (Sebastian Koch) Minister Bruno Hempf (Thomas Thieme) informs Weisler that he suspects Dreyman of political dissidence and wonders if this renowned patriot is all that he seems to be. As it turns out Hempf has something of an ulterior motive for trying to pin something on Dreyman: a deep-seated infatuation with Christa-Maria Sieland (Martina Gedeck) Dreyman's girlfriend. Nevertheless Grubitz who is anxious to further his career appoints Weisler to spy on the gentleman with his help. Weisler plants listening devices in Dreyman's apartment and begins shadowing the writer. As Weisler monitors Dreyman's daily life however (from a secret surveillance station in the gentleman's attic) he discovers the writer is one of the few East Germans who genuinely believes in his leaders. This changes over time however as Dreyman discovers that Christa-Maria is being blackmailed into a sexual relationship with Hempf and one of Dreyman's friends stage director Albert Jerska (Volkmar Kleinert) is driven to suicide after himself being blackballed by the government. Dreyman's loyalty thus shifts away from the East German government and he anonymously posts an anti-establishment piece in a major newspaper which rouses the fury of government officials. Meanwhile Weisler becomes deeply emotionally drawn into the lives of Dreyman and Sieland and becomes something of an anti-establishment figure himself embracing freedom of thought and expression. A major box-office success in Germany Das Leben der Anderen (aka The Lives of Others) received its North American premiere at the 2006 Toronto Film Festival., Martina Gedeck | Sebastian Koch | Ulrich Tukur | Thomas Thieme | Hans-Uwe Bauer | Herbert Knaup | Volkmar Kleinert | Charly Hubner | Bastian Trost | Marie Gruber | Volker Zack Michalowski | Werner Daehn | Martin Brambach | Thomas Arnold | Hinnerk Schönemann | Michael Gerber | Gitta Schweighöfer | Hildegard Schroedter | Inga Birkenfeld, The English Patient | Black Book | After the Wedding | The Secret Life of Words | Good Bye Lenin! | Stalingrad
https://www.allmovie.com/movie/the-departed-v310756, The Departed, Crime, Gangster Film Crime Thriller Police Drama, Oct 6 2006, 151, USA, R, 9,  Drug Content Graphic Violence Profanity Strong Sexual Content, Martin Scorsese, Initial Entertainment Group Media Asia Films Plan B Films Vertigo Entertainment Warner Brothers Pictures, Entertainment Film Distributors Limited Warner Brothers, Slow Burn, Double Life | Going Undercover | Police Corruption | Mind Games, gangster mob-boss organized-crime police-corruption undercover, High Artistic Quality, Legendary director Martin Scorsese takes the helm for this tale of questionable loyalties and blurring identities set in the South Boston organized crime scene and inspired by the wildly popular 2002 Hong Kong crime film Infernal Affairs. As the police force attempts to reign in the increasingly powerful Irish mafia authorities are faced with the prospect of sending in an undercover agent or seeing their already frail grip on the criminal underworld slip even further. Billy Costigan (Leonardo DiCaprio) is a young cop looking to make a name for himself in the world of law enforcement. Collin Sullivan (Matt Damon) is a street-smart criminal who has successfully infiltrated the police department with the sole intention of reporting their every move to ruthless syndicate head Frank Costello (Jack Nicholson). When Costigan is assigned the task of working his way into Costello's tightly guarded inner circle Sullivan is faced with the responsibility of rooting out the informer before things get out of hand. With the stakes constantly rising and time quickly running out for the undercover cop and his criminal counterpart each man must work feverishly to reveal his counterpart before his identity is exposed by the other. Martin Sheen Alec Baldwin and Ray Winstone co-star and writer William Monahan adapts a screenplay originally penned by Alan Mak and Felix Chong., Leonardo DiCaprio | Matt Damon | Jack Nicholson | Mark Wahlberg | Martin Sheen | Ray Winstone | Vera Farmiga | Anthony Anderson | Alec Baldwin | James Badge Dale | David Patrick O'Hara | J.C. MacKenzie | Mark Rolston | Kevin Corrigan | Gerard McSorley, Donnie Brasco | Narc | Bullhead | Killing Them Softly | Dark Blue | We Own the Night
https://www.allmovie.com/movie/children-of-men-v326222, Children of Men, Science Fiction, Psychological Sci-Fi Action Thriller, Dec 25 2006, 109, USA, R, 9,  Adult Situations Brief Nudity Drug Content Not For Children Profanity Violence, Alfonso Cuarón, Hit and Run Productions Ingenious Media Partners Strike Entertainment Toho-Towa Co. Universal Pictures, Universal Pictures, A World of Its Own | Nail-biters, Future Dystopias | Protecting the Innocent | Heroic Mission | Miraculous Events | Totalitarian States, infertility anarchy chaos pregnancy procreation woman, High Production Values, Y Tu Mamá También and Harry Potter and the Prisoner of Azkaban director Alfonso Cuarón returns to the helm to tell this futuristic tale in which society is without hope since humankind lost its ability to procreate. The year is 2027 and women can no longer give birth. The youngest inhabitant of the planet has just died at the age of 18 and all hope for humanity has been lost. As civilization descends into chaos a dying world finds one last chance for survival in the form of a woman who has become inexplicably pregnant. Now as warring nationalistic sects clash and British leaders try to maintain their totalitarian stronghold on the country a disillusioned bureaucrat (Clive Owen) is brought back into the fold of activism by his guerrilla ex-wife (Julianne Moore). Reluctantly he takes on the daunting task of escorting Kee (Claire-Hope Ashitey) the refugee who represents humankind's last hope for survival out of harm's way and into the care of a mysterious organization known as The Human Project. Chiwetel Ejiofor Charlie Hunnam and Michael Caine co-star in this adaptation of author P.D. James's gripping 1992 novel., Clive Owen | Julianne Moore | Michael Caine | Chiwetel Ejiofor | Claire-Hope Ashitey | Pam Ferris | Charlie Hunnam | Danny Huston | Peter Mullan | Oana Pellea | Paul Sharma | Jacek Koman, The Omega Man | The Handmaid's Tale | Gravity | THX 1138 | Bloody Sunday | Code 46
https://www.allmovie.com/movie/letters-from-iwo-jima-v345580, Letters from Iwo Jima, War, War Drama Anti-War Film Combat Films, Dec 20 2006, 141, USA, R, 9,  Adult Language Adult Situations Graphic Violence War Violence, Clint Eastwood, Amblin Entertainment DreamWorks Malpaso Warner Brothers, Paramount Pictures (USA) Warner Brothers Warner Brothers (International), For Love of Country, Great Battles | Heroic Mission | Trapped or Confined, island Japanese [nationality] leader military letter world-war tradition, High Artistic Quality High Production Values, After bringing the story of the American soldiers who fought in the battle of Iwo Jima to the screen in his film Flags of Our Fathers Clint Eastwood offers an equally thoughtful portrait of the Japanese forces who held the island for 36 days in this military drama. In 1945 World War II was in its last stages and U.S. forces were planning to take on the Japanese on a small island known as Iwo Jima. While the island was mostly rock and volcanoes it was of key strategic value and Japan's leaders saw the island as the final opportunity to prevent an Allied invasion. Lt. General Tadamichi Kuribayashi (Ken Watanabe) was put in charge of the forces on Iwo Jima; Kuribayashi had spent time in the United States and was not eager to take on the American army but he also understood his opponents in a way his superiors did not and devised an unusual strategy of digging tunnels and deep foxholes that allowed his troops a tactical advantage over the invading soldiers. While Kuribayashi's strategy alienated some older officers it impressed Baron Nishi (Tsuyoshi Ihara) the son of a wealthy family who had also studied America firsthand as an athlete at the 1932 Olympics. As Kuribayashi and his men dig in for a battle they are not certain they can win -- and most have been told they will not survive -- their story is told both by watching their actions and through the letters they write home to their loved ones letters that in many cases would not be delivered until long after they were dead. Among the soldiers manning Japan's last line of defense are Saigo (Kazunari Ninomiya) a baker sent to Iwo Jima only days before his wife was to give birth; Shimizu (Ryo Kase) who was sent to Iwo Jima after washing out in the military police; and Lieutenant Ito (Shidou Nakamura) who has embraced the notion of "Death Before Surrender" with particular ferocity. Filmed in Japanese with a primarily Japanese cast Letters From Iwo Jima was shot in tandem with Flags of Our Fathers and the two films were released within two months of one another., Ken Watanabe | Kazunari Ninomiya | Tsuyoshi Ihara | Ryo Kase | Shidou Nakamura | Hiroshi Watanabe | Takumi Bando | Yuki Matsuzaki | Takashi Yamaguchi | Eijiro Ozaki | Nae | Nobumasa Sakagami | Luke Elliot | Steve Santa Sekiyoshi | Hiro Abe | Yoshi Ishii | Toshi Toda | Ken Kensei | Ikuma Ando | Akiko Shima | Mark Moses | Roxanne Hart | Yoshio Iizuka | Mitsu Kurokawa | Takuji Kuramoto | Koji Wada | Shoji Hattori | Mark Tadashi Takahashi | Mitsuyuki Oishi | Evan Ellingson | Kazuyuki Morosawa | Masayuki Yonezawa | Hiroshi Tom Tanaka | Mathew Botuchis | Yukari Black | Daisuke Nagashima | Kirk Enochs | Ryan Kelley | Jonathan Oliver Sessler | Michael Lawson | Taishi Mizuno | Daisuke Tsuji | Yoshi Ando | Yutaka Takeuchi | Tsuguo Mizuno | Mark Ofuji | Hallock Beals | Ryan Carnes | Jeremy Glazer | Ryoya Katsuyama | Masashi Odate | London Kim | Skip Evans | Wanliss E. Armstrong, Flags of Our Fathers | Battle of Warsaw 1920 | Tora! Tora! Tora! | The Thin Red Line | Cross of Iron | Last Letters From Monte Rosa
https://www.allmovie.com/movie/united-93-v334030, United 93, Drama, Docudrama, Apr 28 2006, 111, USA, R, 9,  Adult Situations Graphic Violence Not For Children Profanity, Paul Greengrass, Sidney Kimmel Entertainment StudioCanal Working Title Films, Universal Pictures, Abandon All Hope | Uncomfortable Viewing, Hijackings | Terrorism | Under Siege | Heroic Mission, September 11th flight terrorist-attack hijacker suicide-mission passenger terrorism plane-crash, High Artistic Quality, Bloody Sunday director Paul Greengrass marks the five-year anniversary on the September 11 2001 terrorist attacks on the United States with this speculative meditation on the events that took place onboard the fourth hijacked plane and the actions of the passengers who gave their lives to ensure the safety of others. Told in real time and acted out by a cast of unknowns who were provided with detailed studies of their real-life counterparts United 93 attempts to reconstruct the airborne tragedy from the view of the ground and flight controllers the passengers and their nervous families awaiting word on the fate of their loved ones. As the terrified travelers and crew gradually become aware of the historical events taking place on the ground so far beneath them the 90 minutes in which a random collection of strangers realized their fate and came together to confront an unthinkable threat are re-created., David Alan Basche | Richard Bekins | Susan Blommaert | Ray Charleson | Christian Clemenson | Khalid Abdalla | Lewis Alsamari | Ben Sliney | Gregg Henry | Omar Berdouni | Cheyenne Jackson | Polly Adams | Chip Zien | Starla Benford | Opal Alladin | Liza Colon-Zayas | Lorna Dallas | Denny Dillon | Kate Jennings Grant | Peter Hermann | Marceline Hugot | Joe Jamrog | Corey Johnson | J.J. Johnson | Becky London | Peter Marinker | Nancy McDoniel | Libby Morris | Tom O'Rourke | Simon Poland | David Rasche | Chloe Sirene | Michael J. Reynolds | John Rothman | Daniel Sauli | Rebecca Schull | Olivia Thirlby | Gary Commock | Trish Gates | Tara Hugo | Masato Kamo | Jodie Lynne McClintock | Erich Redman | Leigh Zimmerman | Jamie Harding, Syriana | A Mighty Heart | Munich | World Trade Center | Airport | Apollo 13
https://www.allmovie.com/movie/casino-royale-v292159, Casino Royale, Action, Glamorized Spy Film Action Thriller, Nov 17 2006, 144, Czech Republic Germany UK USA, PG13, 8,  Nudity Profanity Sexual Situations Violence, Martin Campbell, Babelsberg Film Casino Royale Productions Columbia Pictures Eon Productions MGM Stillking, Albert R. Broccoli's Eon Productions MGM Sony Pictures Entertainment, Adrenaline Rush, Terrorism | Heroic Mission | Gambling, secret-agent casino poker terrorism Bahamas gambling mission [quest] parkour, High Budget High Production Values, Actor Daniel Craig assumes the role formerly occupied by such screen greats as Sean Connery Roger Moore and Timothy Dalton to set out on the character's very first 007 mission. James Bond has earned his "00" status by masterfully executing a pair of death-defying professional assassinations. Now assigned the task of traveling to Madagascar to spy on notorious terrorist Mollaka (Sebastien Foucan) for his maiden voyage as a 007 agent Bond boldly goes against MI6 policy to launch an independent investigation that finds him traversing the Bahamas in search of Mollaka's notoriously elusive terror cell. Subsequently led into the company of the mysterious Dimitrios (Simon Abkarian) and his exotic girlfriend Solange (Caterina Murino) Bond soon realizes that he is closer than ever to locating well-guarded terrorist financier Le Chiffre (Mads Mikkelsen) the man who has personally bankrolled some of the most prevalent terrorist organizations on the planet. When Bond learns that Le Chiffre is planning to partake in an upcoming high-stakes poker game to be played at Montenegro's Le Casino Royale and use the winnings to establish his financial grip on the globe M (Judi Dench) assigns beguiling agent Vesper (Eva Green) the task of watching over the fledgling agent as he plays against Le Chiffre in a covert attempt to destroy the nefarious gambler's well-established monetary stronghold in the underworld once and for all. Bond will need more than his legendary gambling skills in order to win this dangerous game though and after allying himself with local MI6 field agent Mathis (Giancarlo Giannini) and CIA operative Felix Leiter (Jeffrey Wright) the endlessly suave super-spy puts on his poker face for a high-stakes game of cards in which the stakes are not measured in dollars but human lives., Daniel Craig | Eva Green | Mads Mikkelsen | Giancarlo Giannini | Caterina Murino | Simon Abkarian | Isaach de Bankolé | Jesper Christensen | Ivana Milicevic | Claudio Santamaria | Tobias Menzies | Jeffrey Wright | Judi Dench | Malcolm Sinclair | Richard Sammel | Ludger Pistor | Joseph Millson | Daud Shah | Clemens Schick | Tom Chadbon | Dayo Ade | Urbano Barberini | Lazar Ristovski | Veruschka | Carlos Leal | Christina Cole | Jürgen Tarrach | Jessica Miller | Paul Bhattacharjee | Crispin Bonham Carter | Rebecca Gethings | John Chancer | Jason Durran | Robert Jezek | Robert G. Slade | Michael Offei | Michael G. Wilson | Vladimir Kulhavy | Phil Meheux | Alessandra Ambrosio | Olutunji Ebun-Cole | Martin Ucik | Richard Branson, Quantum of Solace | The Bourne Ultimatum | The Ipcress File | District B13 | Ronin | The Bourne Supremacy
https://www.allmovie.com/movie/little-children-v325930, Little Children, Drama, Marriage Drama Psychological Drama, Oct 6 2006, 137, USA, R, 8,  Adult Humor Adult Situations Not For Children Nudity Profanity Strong Sexual Content Violence, Todd Field, Bona Fide Standard Film Company, Entertainment Film Distributors New Line Cinema, Only Human, Infidelity | Parenthood | Suburban Dysfunction | Crumbling Marriages, community extramarital-affair family pedophilia small-town suburbs castration, , Oscar-nominated filmmaker Todd Field teams with novelist Tom Perrotta to adapt Perrotta's acclaimed novel concerning the suburban malaise experienced by a handful of small-town individuals whose intersecting lives converge in a variety of surprising and sometimes ominous ways. Kate Winslet Jennifer Connelly and Patrick Wilson star in a cinematic adaptation that doesn't aim so much to simply reproduce the book for the screen as it does to re-imagine the written word by exploring new possibilities for the characters and situations originally presented in Perrotta's 2004 best-seller. Sarah (Winslet) is a suburban outsider who unlike the other playground moms isn't afraid to approach the dreamy but long-absent father whom smitten housewives have taken to calling the "Prom King." Long days at the local community pool with their respective children soon find Sarah becoming acquainted with local husband and father Brad (Patrick Wilson) -- who seems to share in her seething discontentment with life in their quaint commuter town. An English literature major who never envisioned a fate as a soccer mom Sarah has a growing dissatisfaction with her successful husband (Gregg Edelman) that parallels Brad's increasing frustration with his inability to pass the bar and connect with his wife Kathy (Jennifer Connelly) a successful documentary filmmaker. It's not long before the dejected pair is meeting for a series of illicit afternoon trysts as their unsuspecting spouses work and their children lie quietly napping. Meanwhile after the community is riled by the return of a convicted sex offender (Jackie Earle Haley) who leaves the concerned parents scrambling to protect their young ones an attempt made by Sarah and Brad to legitimize their clandestine relationship by dining together with their respective spouses begins to awaken Kathy's suspicions about the fidelity of her husband., Kate Winslet | Jennifer Connelly | Patrick Wilson | Jackie Earle Haley | Noah Emmerich | Gregg Edelman | Phyllis Somerville | Raymond J. Barry | Jane Adams | Ty Simpkins | Helen Carey | Sadie Goldstein | Catherine Wolf | Mary B. McCann | Trini Alvarado | Sarah Buxton | Thomas Greaney | Celestial Hakim | Hunter Reid | Phil McGlaston | Bruce Kirkpatrick | Adam Mucci | Chance Kelly | Rebecca Schull | Crystal Field | Lola Pashalinski | Walker Ryan | Erica Berg | Leo Trombetta | Adam Sietz | Stan Carp | Sandra Berrios | Ivar Brogger | Myra Turley | Mary Goggin | Jillian Lindig | Casper Andreas | Leon Vitali | Mark A. Pierce, We Don't Live Here Anymore | The Ice Storm | Short Cuts | Panic | The Safety of Objects | Demolition
https://www.allmovie.com/movie/volver-v326227, Volver, Comedy Drama, Tragi-comedy, Nov 3 2006, 121, Spain, R, 8,  Adult Language Adult Situations Sexual Situations Violence, Pedro Almodóvar, Canal Plus El Deseo Pathé Distribution TVE Warner Bros. International Spain, Sony Pictures Classics, Fantastic Reality, Hide the Dead Body | Keeping a Secret | Mothers and Daughters | Redemption, mother sister, , Two sisters learn that the bonds of family don't always end after death in this gentle observational comedy drama that marks celebrated Spanish filmmaker Pedro Almodóvar's 16th feature. The story explores the interactions between three generations of women in a Spanish family. Raimunda (Penélope Cruz) was born and raised in the apocryphal village of Alcanfor de las Infantas in La Mancha Spain. However she now resides in Madrid where she works as a janitor. She is married to Paco (Antonio de la Torre) an unemployed layabout and looks after her daughter Paula (Yohana Cobo). Raimunda's mother Irene (Carmen Maura) died several years back (along with her father) in a house fire. Raimunda's younger sister Sole (Lola Dueñas) also lives in Madrid and works as a hair stylist while their aunt Paula (Chus Lampreave) still makes her home in La Mancha with occasional help from neighbor Agustina (Blanca Portillo). The story takes an unusual and mystical twist when Agustina mentions that Irene has begun reappearing in ghostly form -- a fact questioned by Raimunda and Sole. After a murder and an unexpected family tragedy Paula's story is indeed corroborated by the appearance of Irene's spirit (who has come to comfort her family) and Sole must decide how to respond to the long-dead mother's strange enchanting presence., Carmen Maura | Lola Dueñas | Blanca Portillo | Yohana Cobo | Chus Lampreave | Antonio de la Torre | Carmen Machi | María Isabel Díaz | Pepa Aniorte | Fany de Castro, Broken Embraces | Women on the Verge of a Nervous Breakdown | Bad Education | Tie Me Up! Tie Me Down! | Talk to Her | What Have I Done to Deserve This?
https://www.allmovie.com/movie/flags-of-our-fathers-v331335, Flags of Our Fathers, Drama War, War Drama, Oct 20 2006, 132, USA, R, 8,  Graphic Violence Not For Children Profanity War Violence, Clint Eastwood, Amblin Entertainment DreamWorks Malpaso Warner Brothers, DreamWorks Paramount Pictures Warner Bros., In a Minor Key | Memory Lane, Great Battles | Home From the War, American [nationality] battle [war] soldier father interview world-war, High Production Values, Clint Eastwood's adaptation of the non-fiction book Flags of Our Fathers concerns the lives of the men in the famous picture of soldiers raising the American flag over Iwo Jima during that historic WWII battle. Battle scenes are intercut with footage of three of the soldiers - played by Ryan Phillipe Jesse Bradford and Adam Beach -- who survived the battle going on a goodwill tour of the United States in order to sell war bonds. Many evening they are forced to reenact their famous pose something each of them finds more and more difficult to do as they suffer from survivor's guilt. Eastwood frames the story by having one of the men's grown son (Tom McCarthy) interview his father's old comrades in order to find out more about what happened to his father. Eastwood followed this film with Letters from Iwo Jima a second film about the battle of Iwo Jima but told from the Japanese perspective. Flags of Our Fathers was produced by Eastwood and Steven Spielberg., Ryan Phillippe | Jesse Bradford | Adam Beach | John Benjamin Hickey | John Slattery | Barry Pepper | Jamie Bell | Paul Walker | Robert Patrick | Neal McDonough | Melanie Lynskey | Christopher Bauer | Judith Ivey | Myra Turley | Joseph Cross | Benjamin Walker | Alessandro Mastrobuono | Stark Sands | George Grizzard | Harve Presnell | George Hearn | Len Cariou | Christopher Curry | Bubba Lewis | Beth Grant | Connie Ray | Ann Dowd | Mary Beth Peil | David Patrick Kelly | Jon Polito | Ned Eisenberg | Gordon Clapp | Michael Cumpsty | V.J. Foster | Kirk B.R. Woller | Tom Verica | Jason Gray-Stanford | Matt Huffman | David Hornsby | Brian Kimmet | David Rasche | Patrick Dollaghan | James Newman | Steven M. Porter | Dale Waddington Horowitz | Lennie Loftin | David Clennon | Mark Thomason | Oliver Davis | Sean Moran | Lisa Dodson | John Nielsen | Jon Kellam | Ron Fassler | John Henry Canavan | Jayma Mays | Yukari Black | John Hoogenakker | William Charlton | Jim Cantafio | Mark Colson | Danny McCarthy | James Horan | Michael Canavan | Erica Grant | Silas Weir Mitchell | Martin Delaney | Jeremiah Bitsui, Letters from Iwo Jima | Where Soldiers Come From | Sands of Iwo Jima | The Big Red One | Coming Home | The Best Years of Our Lives
